"county","DNN","RNN1","RNN2","RNN3","QINN"
"Livingston, IL",93.76998243,91.4283223174,92.9405253574,92.9977397474,89.9215246766
"McLean, IL",95.246837728,94.3448193566,94.8869721856,94.8706387354,92.8460028252
"Perkins, NE",91.930371506,89.233185501,89.099077349,89.1173725564,86.9802893242
"Renville, ND",85.3053744118,83.4489778712,84.1461321394,80.7523299832,70.4463837782
"Shelby, OH",90.6590180544,85.9091346406,86.8899890558,87.2409954416,87.1957224426
"Hale, TX",76.9663289652,76.2902900798,75.720241631,68.6340443512,66.6662065962
